Date,Price,Open,High,Low,Vol.,Change %
1-Oct-18,6601.90,"6,625.90","6,659.60","6,521.00",10.36K,-0.24%
2-Oct-18,6533.30,"6,602.00","6,638.40","6,514.10",12.03K,-1.04%
3-Oct-18,6503.20,"6,527.50","6,552.50","6,428.10",14.57K,-0.46%
4-Oct-18,6580.10,"6,507.90","6,640.00","6,499.30",11.79K,1.18%
5-Oct-18,6644.70,"6,594.30","6,666.90","6,548.00",12.43K,0.98%
6-Oct-18,6592.00,"6,639.90","6,648.20","6,564.50",5.80K,-0.79%
7-Oct-18,6601.00,"6,595.20","6,633.70","6,532.80",5.80K,0.14%
8-Oct-18,6673.20,"6,617.00","6,718.40","6,585.90",12.70K,1.09%
9-Oct-18,6663.00,"6,679.70","6,680.60","6,608.50",8.02K,-0.15%
10-Oct-18,6630.20,"6,659.70","6,659.70","6,529.70",13.82K,-0.49%
11-Oct-18,6252.00,"6,628.00","6,628.00","6,223.80",41.61K,-5.70%
12-Oct-18,6293.20,"6,249.00","6,348.40","6,223.00",10.40K,0.66%
13-Oct-18,6326.50,"6,288.60","6,331.40","6,288.60",5.82K,0.53%
14-Oct-18,6335.20,"6,326.00","6,399.10","6,318.50",11.23K,0.14%
15-Oct-18,6742.00,"6,322.70","7,704.20","6,300.00",85.00K,6.42%
16-Oct-18,6754.10,"6,739.00","6,891.80","6,679.00",15.66K,0.18%
17-Oct-18,6737.10,"6,754.20","6,792.70","6,681.30",8.88K,-0.25%
18-Oct-18,6613.00,"6,736.40","6,778.20","6,567.50",12.53K,-1.84%
19-Oct-18,6527.30,"6,609.60","6,630.20","6,519.90",11.20K,-1.30%
20-Oct-18,6586.70,"6,517.00","6,609.70","6,511.30",4.61K,0.91%
21-Oct-18,6591.60,"6,582.90","6,655.00","6,582.90",4.42K,0.07%
22-Oct-18,6567.20,"6,587.40","6,627.60","6,549.10",6.05K,-0.37%
